HUC8,HUC4,Region,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last,BCG,BCG1,BCG2,BCG3,HUC8scenario,tripletscenario,HUC4scenario,HUC8area,HUC4area,tripletarea,HUC8states,triplestates,HUC4states
3100204,310,SE,3100204,3100205,3100206,0204,0205,0206,3,3,3,4,1,3,3,421.6,10642,2004.8,Florida,Florida,Florida
3100205,310,SE,3100205,3100206,3100207,0205,0206,0207,3,3,4,4,1,3,3,656.1,10642,3251.7,Florida,Florida,Florida
3100206,310,SE,3100206,3100205,3100204,0206,0205,0204,4,4,3,3,2,3,3,927.1,10642,2004.8,Florida,Florida,Florida
3100207,310,SE,3100207,3100208,3100205,0207,0208,0205,4,4,4,3,2,3,3,1668.5,10642,4405.2,Florida,Florida,Florida
3100208,310,SE,3100208,3100207,3100205,0208,0207,0205,4,4,4,3,2,3,3,2080.6,10642,4405.2,Florida,Florida,Florida
3110101,311,SE,3110101,3110102,3110205,0101,0102,0205,2,2,3,3,1,3,2,1176.3,14114,4930.9,Florida,Florida,Florida and Georgia
3110102,311,SE,3110102,3110103,3110205,0102,0103,0205,3,3,3,3,1,1,2,2174.8,14114,4707.2,Florida,Florida and Georgia,Florida and Georgia
3110103,311,SE,3110103,3110203,3110204,0103,0203,0204,3,3,3,3,1,1,2,952.6,14114,3352,Florida and Georgia,Florida and Georgia,Florida and Georgia
3110201,311,SE,3110201,3110202,3110203,0201,0202,0203,3,3,3,3,1,1,2,2649.2,14114,5958,Florida and Georgia,Florida and Georgia,Florida and Georgia
3110202,311,SE,3110202,3110203,3110204,0202,0203,0204,3,3,3,3,1,1,2,1800.9,14114,4200.3,Florida and Georgia,Florida and Georgia,Florida and Georgia
3110203,311,SE,3110203,3110202,3110204,0203,0202,0204,3,3,3,3,1,1,2,1507.9,14114,4200.3,Florida and Georgia,Florida and Georgia,Florida and Georgia
3110204,311,SE,3110204,3110202,3110203,0204,0202,0203,3,3,3,3,1,1,2,891.5,14114,4200.3,Georgia,Florida and Georgia,Florida and Georgia
3110205,311,SE,3110205,3110206,3110201,0205,0206,0201,3,3,3,3,1,1,2,1579.8,14114,5610,Florida,Florida and Georgia,Florida and Georgia
3110206,311,SE,3110206,3110205,3110201,0206,0205,0201,3,3,3,3,1,1,2,1381,14114,5610,Florida,Florida and Georgia,Florida and Georgia
3120001,312,SE,3120001,3120002,3120003,0001,0002,0003,3,3,5,3,1,3,3,1314.1,3797.3,3797.4,Florida and Georgia,Florida and Georgia,Florida and Georgia
3120002,312,SE,3120002,3120001,3120003,0002,0001,0003,5,5,3,3,3,3,3,927,3797.3,3797.4,Georgia,Florida and Georgia,Florida and Georgia
3120003,312,SE,3120003,3120001,3120002,0003,0001,0002,3,3,3,5,1,3,3,1556.3,3797.3,3797.4,Florida and Georgia,Florida and Georgia,Florida and Georgia
3130003,313,SE,3130003,3130002,3130005,0003,0002,0005,4,4,5,4,2,3,3,2836.9,20626.4,8507.2,Alabama and Georgia,Florida and Georgia,"Alabama, Florida, and Georgia"
3130002,313,SE,3130002,3130003,3130005,0002,0003,0005,5,5,4,4,3,3,3,3040.6,20626.4,8507.2,Alabama and Georgia,Florida and Georgia,"Alabama, Florida, and Georgia"
3130004,313,SE,3130004,3130009,3130010,0004,0009,0010,4,4,4,4,2,2,3,1244.2,20626.4,3137,"Alabama, Florida, and Georgia","Alabama, Florida, and Georgia","Alabama, Florida, and Georgia"
3130006,313,SE,3130006,3130005,3130007,0006,0005,0007,3,3,4,4,1,3,3,1558.2,20626.4,5288.9,Georgia,Georgia,"Alabama, Florida, and Georgia"
3130005,313,SE,3130005,3130006,3130007,0005,0006,0007,4,4,3,4,2,3,3,2629.7,20626.4,5288.9,Georgia,Georgia,"Alabama, Florida, and Georgia"
3130007,313,SE,3130007,3130006,3130009,0007,0006,0009,4,4,3,4,2,3,3,1101,20626.4,3763.3,Georgia,Georgia,"Alabama, Florida, and Georgia"
3130008,313,SE,3130008,3130007,3130009,0008,0007,0009,4,4,4,4,2,2,3,1274.4,20626.4,3479.5,Florida and Georgia,Florida and Georgia,"Alabama, Florida, and Georgia"
3130009,313,SE,3130009,3130010,3130008,0009,0010,0008,4,4,4,4,2,2,3,1104.1,20626.4,3167.2,Georgia,Florida and Georgia,"Alabama, Florida, and Georgia"
3130010,313,SE,3130010,3130008,3130009,0010,0008,0009,4,4,4,4,2,2,3,788.7,20626.4,3167.2,Georgia,Florida and Georgia,"Alabama, Florida, and Georgia"
3130012,313,SE,3130012,3130013,3130011,0012,0013,0011,3,3,4,3,1,3,3,1292.7,20626.4,2979.9,Alabama and Florida,"Alabama, Florida, and Georgia","Alabama, Florida, and Georgia"
3130011,313,SE,3130011,3130013,3130012,0011,0013,0012,3,3,4,3,1,3,3,1110.7,20626.4,2979.9,Florida and Georgia,"Alabama, Florida, and Georgia","Alabama, Florida, and Georgia"
3130013,313,SE,3130013,3130012,3130011,0013,0012,0011,4,4,3,3,2,3,3,576.5,20626.4,2979.9,Florida,"Alabama, Florida, and Georgia","Alabama, Florida, and Georgia"
3140101,314,SE,3140101,3140102,3140203,0101,0102,0203,3,3,3,3,1,1,3,1615.4,15608.7,3947.4,Florida,Alabama and Florida,Alabama and Florida
3140102,314,SE,3140102,3140103,3140104,0102,0103,0104,3,3,2,3,1,3,3,777.5,15608.7,3016.5,Florida,Alabama and Florida,Alabama and Florida
3140103,314,SE,3140103,3140104,3140105,0103,0104,0105,2,2,3,4,1,3,3,1374.4,15608.7,2946.7,Alabama and Florida,Alabama and Florida,Alabama and Florida
3140104,314,SE,3140104,3140102,3140103,0104,0102,0103,3,3,3,2,1,3,3,864.6,15608.7,3016.5,Alabama and Florida,Alabama and Florida,Alabama and Florida
3140105,314,SE,3140105,3140106,3140107,0105,0106,0107,4,4,3,4,2,3,3,707.7,15608.7,2078.8,Florida,Alabama and Florida,Alabama and Florida
3140106,314,SE,3140106,3140107,3140305,0106,0107,0305,3,3,4,3,1,3,3,920.4,15608.7,2130.5,Alabama and Florida,Alabama and Florida,Alabama and Florida
3140107,314,SE,3140107,3140106,3140305,0107,0106,0305,4,4,3,3,2,3,3,450.7,15608.7,2130.5,Alabama and Florida,Alabama and Florida,Alabama and Florida
3140201,314,SE,3140201,3140202,3140203,0201,0202,0203,2,2,3,3,1,3,3,1543.4,15608.7,4653.1,Alabama,Alabama and Florida,Alabama and Florida
3140202,314,SE,3140202,3140201,3140301,0202,0201,0301,3,3,2,3,1,3,3,1555.2,15608.7,3920.7,Alabama and Florida,Alabama and Florida,Alabama and Florida
3140203,314,SE,3140203,3140201,3140202,0203,0201,0202,3,3,2,3,1,3,3,1554.5,15608.7,4653.1,Alabama and Florida,Alabama and Florida,Alabama and Florida
3140301,314,SE,3140301,3140303,3140302,0301,0303,0302,3,3,5,3,1,3,3,822.1,15608.7,2471.7,Alabama,Alabama,Alabama and Florida
3140302,314,SE,3140302,3140303,3140301,0302,0303,0301,3,3,5,3,1,3,3,600.2,15608.7,2471.7,Alabama,Alabama,Alabama and Florida
3140303,314,SE,3140303,3140302,3140304,0303,0302,0304,5,5,3,3,3,3,3,1049.4,15608.7,2663.7,Alabama,Alabama and Florida,Alabama and Florida
3140304,314,SE,3140304,3140305,3140303,0304,0305,0303,3,3,3,5,1,3,3,1014.1,15608.7,2822.9,Alabama and Florida,Alabama and Florida,Alabama and Florida
3140305,314,SE,3140305,3140304,3140303,0305,0304,0303,3,3,3,5,1,3,3,759.4,15608.7,2822.9,Alabama and Florida,Alabama and Florida,Alabama and Florida
3150110,315,SE,3150110,3150107,3150109,0110,0107,0109,3,3,5,4,1,3,3,1703.2,22740.1,5255.4,Alabama,Alabama,"Alabama, Georgia, and Tennessee"
3150107,315,SE,3150107,3150110,3150109,0107,0110,0109,5,5,3,4,3,3,3,1962.4,22740.1,5255.4,Alabama,Alabama,"Alabama, Georgia, and Tennessee"
3150109,315,SE,3150109,3150107,3150110,0109,0107,0110,4,4,5,3,2,3,3,1589.8,22740.1,5255.4,Alabama,Alabama,"Alabama, Georgia, and Tennessee"
3150201,315,SE,3150201,3150202,3150203,0201,0202,0203,4,4,4,4,2,2,3,2391.2,22740.1,6444.7,Alabama,Alabama,"Alabama, Georgia, and Tennessee"
3150202,315,SE,3150202,3150201,3150203,0202,0201,0203,4,4,4,4,2,2,3,1823.9,22740.1,6444.7,Alabama,Alabama,"Alabama, Georgia, and Tennessee"
3150203,315,SE,3150203,3150204,3150202,0203,0204,0202,4,4,4,4,2,2,3,2229.6,22740.1,5504.6,Alabama,Alabama,"Alabama, Georgia, and Tennessee"
3150204,315,SE,3150204,3150203,3150201,0204,0203,0201,4,4,4,4,2,2,3,1451.1,22740.1,6071.9,Alabama,Alabama,"Alabama, Georgia, and Tennessee"
3170001,317,SE,3170001,3170002,3170005,0001,0002,0005,3,3,5,5,1,3,3,908,12363.9,4179.2,Mississippi,Alabama and Mississippi,"Alabama, Louisiana, and Mississippi"
3170002,317,SE,3170002,3170001,3170003,0002,0001,0003,5,5,3,5,3,3,3,1446.1,12363.9,3018.6,Alabama and Mississippi,Alabama and Mississippi,"Alabama, Louisiana, and Mississippi"
3170003,317,SE,3170003,3170004,3170005,0003,0004,0005,5,5,4,5,3,3,3,664.5,12363.9,4242.7,Alabama and Mississippi,Alabama and Mississippi,"Alabama, Louisiana, and Mississippi"
3170004,317,SE,3170004,3170005,3170007,0004,0005,0007,4,4,5,2,2,3,3,1753.1,12363.9,4845.5,Mississippi,Mississippi,"Alabama, Louisiana, and Mississippi"
3170005,317,SE,3170005,3170007,3170006,0005,0007,0006,5,5,2,6,3,3,3,1825.1,12363.9,3702.7,Mississippi,Mississippi,"Alabama, Louisiana, and Mississippi"
3170006,317,SE,3170006,3170007,3170005,0006,0007,0005,6,6,2,5,3,3,3,610.3,12363.9,3702.7,Mississippi,Mississippi,"Alabama, Louisiana, and Mississippi"
3170007,317,SE,3170007,3170006,3170009,0007,0006,0009,2,2,6,5,1,3,3,1267.3,12363.9,4722.9,Mississippi,"Alabama, Louisiana, and Mississippi","Alabama, Louisiana, and Mississippi"
3170008,317,SE,3170008,3170006,3170003,0008,0006,0003,5,5,6,5,3,3,3,1044.3,12363.9,2319.1,Alabama and Mississippi,Alabama and Mississippi,"Alabama, Louisiana, and Mississippi"
3170009,317,SE,3170009,3170006,3170007,0009,0006,0007,5,5,6,2,3,3,3,2845.3,12363.9,4722.9,"Alabama, Louisiana, and Mississippi","Alabama, Louisiana, and Mississippi","Alabama, Louisiana, and Mississippi"
3180001,318,SE,3180001,3180002,3180003,0001,0002,0003,5,5,4,4,3,3,3,2463.3,8688.8,5658.8,Mississippi,Mississippi,Louisiana and Mississippi
