zipcode,HUC8,HUC4,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last
31003,3070102,307,3070102,3070101,3070103,0102,0101,0103
31021,3070102,307,3070102,3070101,3070103,0102,0101,0103
31022,3070102,307,3070102,3070101,3070103,0102,0101,0103
31027,3070102,307,3070102,3070101,3070103,0102,0101,0103
31031,3070102,307,3070102,3070101,3070103,0102,0101,0103
31034,3070102,307,3070102,3070101,3070103,0102,0101,0103
31042,3070102,307,3070102,3070101,3070103,0102,0101,0103
31054,3070102,307,3070102,3070101,3070103,0102,0101,0103
31062,3070102,307,3070102,3070101,3070103,0102,0101,0103
31065,3070102,307,3070102,3070101,3070103,0102,0101,0103
31067,3070102,307,3070102,3070101,3070103,0102,0101,0103
31090,3070102,307,3070102,3070101,3070103,0102,0101,0103
31001,3070104,307,3070104,3070102,3070105,0104,0102,0105
31005,3070104,307,3070104,3070102,3070105,0104,0102,0105
31028,3070104,307,3070104,3070102,3070105,0104,0102,0105
31036,3070104,307,3070104,3070102,3070105,0104,0102,0105
31047,3070104,307,3070104,3070102,3070105,0104,0102,0105
31069,3070104,307,3070104,3070102,3070105,0104,0102,0105
31071,3070104,307,3070104,3070102,3070105,0104,0102,0105
31077,3070104,307,3070104,3070102,3070105,0104,0102,0105
31088,3070104,307,3070104,3070102,3070105,0104,0102,0105
31544,3070104,307,3070104,3070102,3070105,0104,0102,0105
30411,3070105,307,3070105,3070104,3070102,0105,0104,0102
31009,3070105,307,3070105,3070104,3070102,0105,0104,0102
31011,3070105,307,3070105,3070104,3070102,0105,0104,0102
31037,3070105,307,3070105,3070104,3070102,0105,0104,0102
31083,3070105,307,3070105,3070104,3070102,0105,0104,0102
30412,3070106,307,3070106,3070107,3070202,0106,0107,0202
31546,3070106,307,3070106,3070107,3070202,0106,0107,0202
31599,3070106,307,3070106,3070107,3070202,0106,0107,0202
30448,3070107,307,3070107,3070102,3070106,0107,0102,0106
30464,3070107,307,3070107,3070102,3070106,0107,0102,0106
31035,3070107,307,3070107,3070102,3070106,0107,0102,0106
31049,3070107,307,3070107,3070102,3070106,0107,0102,0106
31501,3070201,307,3070201,3070202,3070203,0201,0202,0203
31512,3070201,307,3070201,3070202,3070203,0201,0202,0203
31533,3070201,307,3070201,3070202,3070203,0201,0202,0203
31535,3070201,307,3070201,3070202,3070203,0201,0202,0203
31542,3070201,307,3070201,3070202,3070203,0201,0202,0203
31553,3070201,307,3070201,3070202,3070203,0201,0202,0203
31554,3070201,307,3070201,3070202,3070203,0201,0202,0203
31564,3070201,307,3070201,3070202,3070203,0201,0202,0203
31567,3070201,307,3070201,3070202,3070203,0201,0202,0203
31568,3070201,307,3070201,3070202,3070203,0201,0202,0203
31624,3070201,307,3070201,3070202,3070203,0201,0202,0203
31518,3070202,307,3070202,3070201,3070203,0202,0201,0203
31556,3070202,307,3070202,3070201,3070203,0202,0201,0203
31520,3070203,307,3070203,3070204,3070205,0203,0204,0205
31523,3070203,307,3070203,3070204,3070205,0203,0204,0205
31524,3070203,307,3070203,3070204,3070205,0203,0204,0205
31527,3070203,307,3070203,3070204,3070205,0203,0204,0205
31562,3070204,307,3070204,3070203,3070205,0204,0203,0205
32063,3070204,307,3070204,3070203,3070205,0204,0203,0205
32087,3070204,307,3070204,3070203,3070205,0204,0203,0205
32102,3080101,308,3080101,3080102,3080103,0101,0102,0103
32139,3080101,308,3080101,3080102,3080103,0101,0102,0103
32701,3080101,308,3080101,3080102,3080103,0101,0102,0103
32702,3080101,308,3080101,3080102,3080103,0101,0102,0103
32707,3080101,308,3080101,3080102,3080103,0101,0102,0103
32708,3080101,308,3080101,3080102,3080103,0101,0102,0103
32709,3080101,308,3080101,3080102,3080103,0101,0102,0103
32713,3080101,308,3080101,3080102,3080103,0101,0102,0103
32714,3080101,308,3080101,3080102,3080103,0101,0102,0103
32720,3080101,308,3080101,3080102,3080103,0101,0102,0103
32723,3080101,308,3080101,3080102,3080103,0101,0102,0103
32725,3080101,308,3080101,3080102,3080103,0101,0102,0103
32730,3080101,308,3080101,3080102,3080103,0101,0102,0103
32732,3080101,308,3080101,3080102,3080103,0101,0102,0103
32738,3080101,308,3080101,3080102,3080103,0101,0102,0103
32744,3080101,308,3080101,3080102,3080103,0101,0102,0103
32746,3080101,308,3080101,3080102,3080103,0101,0102,0103
32750,3080101,308,3080101,3080102,3080103,0101,0102,0103
32751,3080101,308,3080101,3080102,3080103,0101,0102,0103
32763,3080101,308,3080101,3080102,3080103,0101,0102,0103
32764,3080101,308,3080101,3080102,3080103,0101,0102,0103
32765,3080101,308,3080101,3080102,3080103,0101,0102,0103
32766,3080101,308,3080101,3080102,3080103,0101,0102,0103
32767,3080101,308,3080101,3080102,3080103,0101,0102,0103
32771,3080101,308,3080101,3080102,3080103,0101,0102,0103
32773,3080101,308,3080101,3080102,3080103,0101,0102,0103
32776,3080101,308,3080101,3080102,3080103,0101,0102,0103
