NAME,lake,st2,lat,lon,area
Vernon,Fullerton Lake,LA,31.0083815429403,-92.9853099550649,0.09056785801745
Vernon,Artillery Lake,LA,31.1337188245187,-93.0592762378446,0.00846013207534912
Vernon,Engineer Lake,LA,31.1218975723548,-93.0768560436862,0.0973642185119571
Vernon,Infantry Lake,LA,31.1256163767328,-93.0903403979032,0.00892942056008466
Allen,Crosby Lake,LA,30.6017251070604,-92.9572081808716,0.161292919700838
Allen,Havard Lake,LA,30.5343130057693,-92.9252860188292,0.00251390848533893
Allen,Bird Pond,LA,30.646382747279,-92.9382762072081,0.00967858667819686
Avoyelles,Lac Bon Garçon,LA,30.9551582904209,-92.1532136709685,0.289441755428711
Avoyelles,Big Buttonwood Lake,LA,30.9031811599518,-92.0332996262245,0.206726671983464
St. Landry,Dunns Lake,LA,30.8421846706999,-91.9939726149205,0.00507015366906223
St. Mary,Mud Bayou,LA,29.6935325248065,-91.6185422418611,0.0910801989827183
Rapides,Oden Lake,LA,31.1919082716064,-92.517954329133,0.815198694229389
Avoyelles,Big Lake,LA,31.1877389523613,-92.1473606682249,0.00289076930185871
Evangeline,Chicota Lake,LA,30.8341426089289,-92.2720036772452,0.0414414514051419
Evangeline,Mountain Bayou Lake,LA,30.8589473958243,-92.3008473429762,2.09793564845779
St. Landry,Foy Lake,LA,30.6204822728702,-91.9681575532196,0.102566454500754
Evangeline,Hubbard Brake,LA,30.9804636093651,-92.3797143903639,2.10974849916435
Evangeline,Lake Chicot,LA,30.8008974764154,-92.2731216271041,6.1560969484409
Evangeline,Turtle Bayou,LA,30.9767013218861,-92.3460782573836,0.0547331442267835
Rapides,Weems Lake,LA,31.0845815734194,-92.4268255425546,0.0740041665542487
Rapides,Hardy Lake,LA,31.0904147796067,-92.4317647185958,0.031228102320883
Evangeline,Tiger Lake,LA,30.9213245465159,-92.3339517541634,0.811732333481113
Avoyelles,Boggy Lake,LA,30.9692921867566,-92.1125138121873,0.303952979339555
Evangeline,Fontenots Pond,LA,30.7290970600571,-92.1733160757628,0.0383467109753776
St. Mary,Bayou Mascot,LA,29.7260186396506,-91.6100172953744,0.128336054483739
Avoyelles,Lyle Lake,LA,30.9845063865841,-92.1615335059986,0.129802186131151
St. Martin,Willow Lake,LA,30.132790631344,-91.6825086064325,0.0462995596721548
St. Mary,Grand Avoille Cove,LA,29.920753993928,-91.5527337542972,0.535325844667942
Evangeline,Cocodrie Lake,LA,30.9997756295087,-92.3814435009748,0.00808938972166309
Evangeline,Indian Lake,LA,30.7923370999211,-92.2358064114635,0.268005735969899
Evangeline,Aswell Lake,LA,30.7848492332395,-92.3012968280205,0.0245303044616943
Rapides,Plantation Slough,LA,31.212825742268,-92.4411792440826,0.326607180220969
St. Martin,Catahoula Lake,LA,30.2088131276395,-91.7015078325427,0.321114834441321
Rapides,Lake Hop-O-Bee,LA,30.9959929234849,-92.5870084004414,0.0343084202592915
Rapides,Bench Slough,LA,31.2044732677918,-92.4503775378549,0.0111002476608182
St. Landry,Grassy Lake,LA,30.6947367906327,-92.0909644584068,0.390166602490563
Avoyelles,Tanner Lake,LA,30.9454015195764,-92.1575979659107,0.247218745351026
Rapides,Mathews Brake,LA,31.0552327975396,-92.4072830792615,0.717341030195734
St. Mary,Mud Lake,LA,29.7539940605427,-91.5888568004604,1.74200496004737
Rapides,Lake Jubenicwa,LA,30.9917522643346,-92.5836571202664,0.0348588821835529
Evangeline,Negro Lake,LA,30.797002258357,-92.2495002029451,0.755246915353491
Avoyelles,Lac Aux Perles,LA,31.0271076290619,-92.1246538989305,0.818332896580668
Rapides,Wilson Lake,LA,31.1247224535215,-92.25382879812,0.00673989605238239
Allen,Black Lake,LA,30.5218825117503,-92.9084721191767,0.00453594110376234
Avoyelles,Jews-Harp Lake,LA,30.9779937673608,-92.1237579534168,0.0731407073446435
Rapides,Chambers Lake,LA,31.1916824094589,-92.4350928431596,0.00692860477200607
Rapides,Harris Slough,LA,31.2152610514552,-92.4584233813713,0.347255524811536
Jefferson Davis,side lake 1,LA,30.2366169655553,-92.9950686373971,0.0073396880167386
Rapides,Valentine Lake,LA,31.242119815258,-92.6842573960566,0.186372075552098
Rapides,Hughes Bayou,LA,31.1915152475751,-92.4480265075609,0.00212826297306294
St. Mary,Fresh Water Lake,LA,29.6797886777121,-91.5605345722044,0.361240190516108
Allen,Bear Creek Watershed Number 1,LA,30.5823736882438,-93.0338477185086,0.232404131829835
Evangeline,Dossman Lake,LA,30.8497655200879,-92.2947497409333,0.290215343913841
Rapides,Indian Creek Reservoir,LA,31.1119324597888,-92.4681313649291,7.22495931073005
St. Mary,Bayou Long,LA,29.65317616479,-91.6201315907125,0.202293868643419
Rapides,Freeman Lake,LA,31.0425657851604,-92.3974107969515,0.0341652508134354
Rapides,Bayou Sans,LA,31.0596294844508,-92.3297297134402,0.00710307393176872
St. Tammany,Talleys Lake,LA,30.663736318274,-89.9801644245053,0.00372881575889994
Washington,Corkern Lake,LA,30.6867559855097,-90.0465949408947,0.014992665518372
Washington,Green Lakes,LA,30.8102749680418,-90.145765386237,0.0215208005274728
St. Tammany,Upper Black Bayou,LA,30.2239238430207,-89.6527276443611,0.0502174507407323
St. Tammany,Fish Lake,LA,30.6436299608634,-89.8492704401088,0.0243212337160379
St. Tammany,Sawmill Bayou,LA,30.1964383051973,-89.6437138325403,0.107580626324363
Washington,Manning Lake,LA,30.8708315548449,-89.787028858741,0.068376002016479
St. Tammany,Murdock Eddy Lake,LA,30.3943746549565,-89.67774210431,0.00518919209309118
St. Tammany,Catfish Lake,LA,30.5218833077559,-89.7849754324012,0.0168513346454665
St. Tammany,Maple Slough,LA,30.4434471476082,-89.7778101554569,0.103683428600335
Washington,Hunt Lake,LA,30.9913845853395,-89.7375759659956,0.0326639274715369
Washington,Sones Lake,LA,30.9363297973511,-89.7625049598035,0.0357752323521848
Washington,Smith Lake,LA,30.9059362170038,-89.766445793555,0.0262625852782904
Washington,Lott Lake,LA,30.9209230480763,-89.7575296268319,0.0250569029865521
St. Tammany,Fawn Bayou,LA,30.2591941491623,-89.6383752493984,0.255022879928442
St. Tammany,Lower Black Bayou,LA,30.2107619348385,-89.6468567759097,0.163374558741044
Washington,Crystal Lake,LA,30.7942854766294,-89.8337048727253,0.0234786289299739
St. Tammany,Gum Pond,LA,30.5290579766289,-89.8355202895768,0.0430540852472786
St. Tammany,Black Lake,LA,30.5790357214769,-89.8443475302549,0.0424158815859084
St. Tammany,Spencer Mill Lake,LA,30.4485365475566,-89.7506413065803,0.0253354011187372
Washington,Old River,LA,30.7907107119737,-89.8074361738144,0.133478327299051
St. Tammany,Rice Patch Lake,LA,30.5203465879809,-89.798537181689,0.010386115551942
Washington,Ox Lot Slough,LA,30.7361194627784,-89.8430672779879,0.0533739512894559
St. Tammany,Holden Pond,LA,30.3633031815246,-89.6737421844343,0.0232983827255266
St. Tammany,Turkey Lake,LA,30.4309053202264,-89.7406552608747,0.0114377433931789
St. Tammany,Lily Lagoon,LA,30.1906586089297,-89.633026124123,0.0094811078325428
St. Tammany,Perdido Bayou,LA,30.1907473750371,-89.6989113388581,0.00781119071780134
Washington,Old Jail Lake,LA,30.8460132674689,-89.7824899476134,0.0330834388515855
St. Tammany,Bilbo Lake,LA,30.3791174800453,-89.729915242364,0.011043252973018
Washington,Black Lake,LA,30.9096594736144,-89.7717760941804,0.0900895945854977
St. Tammany,Salt Bayou,LA,30.2007774687359,-89.6812124063099,0.135648157711866
St. Tammany,Clements Bayou,LA,30.5124387667309,-89.8091293398079,0.0145890821303918
St. Tammany,Joiner Lake,LA,30.5616368580342,-89.851549013169,0.0518983558583505
St. Tammany,Cotton Box Pond,LA,30.3593873911223,-89.6592929363843,0.00554757826282064
Washington,Warren Lake,LA,30.9153657221028,-89.7673204505844,0.0892338716080695
St. Tammany,John Cane Bayou,LA,30.1923000993368,-89.5336443477896,0.00107054715545396
St. Tammany,Page Lake,LA,30.6155879801793,-89.8424129473521,0.0607043702657845
St. Tammany,Sally Miller Pond,LA,30.3679925900094,-89.6773033105932,0.028824041708412
St. Tammany,Perch Lake,LA,30.324037284401,-89.6428148436428,0.0243130097978767
Washington,Harry Lake,LA,30.9642946982787,-89.7456424822986,0.0268860829867674
Washington,Bateman Lake,LA,30.797585249564,-89.8353719059804,0.0883468562463817
St. Tammany,Lindsey Lake,LA,30.413566937429,-89.7371393001511,0.00308074663869083
St. Tammany,Little Lake,LA,30.6375866544371,-89.848416913188,0.00829409659801073
Washington,Duck Pond,LA,30.7022769945664,-89.8552058892196,0.178221284201226
St. Tammany,Cow Hammock Lake,LA,30.5742201139215,-89.8509923398774,0.00612122113617349
St. Tammany,Kopman Bayou,LA,30.1881788309506,-89.6150759192958,0.0760466003129103
St. Tammany,Joes Lagoon,LA,30.1897293437079,-89.6304901089962,0.0050252945672304
St. Tammany,Johnson Lake,LA,30.3039534437496,-89.6734198407202,0.00604213412024517
St. Tammany,Scarborough Lake,LA,30.3207826585269,-89.7073202374359,0.00426074778341147
Washington,Road Lake,LA,30.9870351350891,-89.7400859111801,0.0135621457834352
Washington,Big Eddy Lake,LA,30.8121057010813,-89.8013188727707,0.0131662885323718
St. Tammany,Bullock Lake,LA,30.3372137755789,-89.706480692689,0.00853084987020076
St. Tammany,Toumer Mill Pond,LA,30.1854238654659,-89.6368418403508,0.0572093967732331
East Baton Rouge,Capitol Lake,LA,30.4604879939487,-91.1849200024058,0.185638142089611
Caddo,Lake 1,LA,32.4468918879809,-93.8465784985597,0.00207674363333126
Caddo,Lake 2,LA,32.4476401707832,-93.8467652422889,0.0017496472623688
East Carroll,Gassoway Lake,LA,32.9842428115438,-91.214935720145,3.14963882873039
East Carroll,Doe Lake,LA,32.9846895316945,-91.201652033247,0.196843952647554
Plaquemines,Lost Flat Bay,LA,29.6421036341872,-89.7084006072985,0.760000163214287
Pointe Coupee,Grand Bay,LA,30.6412556456504,-91.3502813464189,0.29770522696664
