st2,GEOID,lake,lat,lon
ME,23009,Wilson Pond at Hancock county ,44.8592407189923,-68.3947748032409
ME,23009,Dutton Pond at Hancock county ,44.89213462349,-68.3613660456793
ME,23009,Partridge Pond at Hancock county ,44.8604505051713,-68.4037472314577
ME,23009,Snowshoe Pond at Hancock county ,44.8638560550007,-68.3960538340092
ME,23009,Giles Pond at Hancock county ,44.8356319173103,-68.3154626832119
ME,23009,Little Dutton Pond at Hancock county ,44.9039689571161,-68.3511289387693
ME,23009,King Pond at Hancock county ,44.9407610244631,-68.2603116728093
ME,23009,Lower Middle Branch Pond at Hancock county ,44.8775424942744,-68.2267081345973
ME,23009,Upper Middle Branch Pond at Hancock county ,44.8970102350405,-68.2257373274855
ME,23009,Rift Pond at Hancock county ,44.9502749665347,-68.2573780990667
ME,23009,Alligator Lake at Hancock county ,44.9377455858116,-68.2099964534655
ME,23009,Middle Allen Pond at Hancock county ,44.9503007930981,-68.1467363796322
ME,23009,Lower Allen Pond at Hancock county ,44.9458746201616,-68.139867806998
ME,23009,Bracey Pond at Hancock county ,44.9620215864857,-68.1225156009398
ME,23009,Upper Allen Pond at Hancock county ,44.9535122416088,-68.1540754345738
ME,23009,Lovejoy Pond at Hancock county ,44.9566363578278,-68.1264205696536
ME,23009,Stiles Lake at Hancock county ,44.9740041510731,-68.0090369484864
ME,23009,Allen Pond at Hancock county ,44.9607401619839,-68.0853053404525
ME,23003,Wytopitlock Lake at Aroostook county ,45.7984322867514,-68.1597422034821
ME,23029,Lower Hot Brook Lake at Washington county ,45.6484186013359,-67.937368584866
ME,23029,Upper Hot Brook Lake at Washington county ,45.615620564329,-67.938137960063
ME,23029,Sucker Lake at Washington county ,45.6749117661245,-67.8221305803326
ME,23003,Faulkner Lake at Aroostook county ,45.7709029311943,-67.8900454033649
ME,23003,Longley Lake at Aroostook county ,45.7896236060132,-67.84451677101
ME,23003,Longfellow Lake at Aroostook county ,45.7661078537413,-67.8515485217426
ME,23003,Brackett Lake at Aroostook county ,45.7460896942237,-67.8606996482568
ME,23029,Little Pickerel Pond at Washington county ,45.5164187577775,-67.7485517585147
ME,23029,Little Tomah Lake at Washington county ,45.4784199345745,-67.7279388481731
ME,23029,Crooked Brook Flowage at Washington county ,45.6195938513288,-67.8494172687343
ME,23029,Jackson Brook Lake at Washington county ,45.5300933108847,-67.7467776499922
ME,23029,Big Greenland Lake at Washington county ,45.605921364225,-67.7482958718534
ME,23029,Tomah Lake at Washington county ,45.5909479957693,-67.7427393111801
ME,23029,Crooked Brook Lake at Washington county ,45.5519705627841,-67.7216953118544
ME,23029,Little Greenland Lake at Washington county ,45.6055116289497,-67.7552952107721
ME,23029,Lambert Lake at Washington county ,45.5519054958258,-67.5604875626915
ME,23029,La Coute Lake at Washington county ,45.5779548556785,-67.4543661382104
ME,23029,Simsquish Lake at Washington county ,45.4644196513783,-67.5238511929758
ME,23029,Flood Lake at Washington county ,45.3666533901719,-67.8287622856713
ME,23029,Simon Pond at Washington county ,45.4305294362744,-67.6844244724736
ME,23029,Farrow Lake at Washington county ,45.4253426502573,-67.7659601568324
ME,23029,Upper Flood Lake at Washington county ,45.3678589074523,-67.816458301424
ME,23029,Orie Lake at Washington county ,45.3665003640162,-67.8530452868404
ME,23029,East Musquash Lake at Washington county ,45.4094911394212,-67.8001974891067
ME,23019,Keg Lake at Penobscot county ,45.3229971521665,-68.052702476037
ME,23019,Mill Privilege Lake at Penobscot county ,45.34286781721,-68.0180336316163
ME,23029,Shaw Lake at Washington county ,45.3441380785264,-67.959450601654
ME,23009,Upper Oxhead Pond at Hancock county ,45.0828658407621,-68.2540089095958
ME,23009,Loon Pond at Hancock county ,45.0375933540296,-68.1988838446379
ME,23009,Crystal Pond at Hancock county ,45.0310132677781,-68.1920626775736
ME,23009,Lower Oxhead Pond at Hancock county ,45.079191052295,-68.2282584029245
ME,23009,Little Pickeerel Pond at Hancock county ,45.0169087622574,-68.1728692639614
ME,23009,Middle Oxhead Pond at Hancock county ,45.085635389755,-68.2357636471275
ME,23025,Little Saint John Lake at Somerset county ,46.0990206987315,-70.253390882291
ME,23009,Porter Pond at Hancock county ,45.1608466009741,-68.2196583827147
ME,23009,Trueworthy Pond at Hancock county ,45.1533463028701,-68.2170620014575
ME,23009,West Lake at Hancock county ,45.1132909760495,-68.1970841380737
ME,23009,Upper Sabao Lake at Hancock county ,45.0506557552813,-68.0816735342705
ME,23019,Horseshoe Lake at Penobscot county ,45.2630049355317,-68.0060834589787
ME,23029,Lower Chain Lake at Washington county ,45.2106465891709,-68.0318225475408
ME,23019,Norway Lake at Penobscot county ,45.2737776099814,-67.9686648059903
ME,23029,Upper Oxbrook Lake at Washington county ,45.2928423507205,-67.8346614224277
ME,23029,Lower Oxbrook Lake at Washington county ,45.2811301037394,-67.8427243495916
ME,23029,Pork Barrel Lake at Washington county ,45.2996657284356,-67.9061805883368
ME,23029,Unknown Pond at Washington county ,45.3964407822926,-67.654242651249
ME,23019,Little Eskutassis Pond at Penobscot county ,45.2710608517057,-68.420632163163
ME,23029,Fourth Machias Lake at Washington county ,45.1420770288439,-67.9981823916067
ME,23029,Third Machias Lake at Washington county ,45.1192676761223,-67.8909047748978
ME,23029,Little River Lake at Washington county ,45.1588766237148,-67.8187970673545
ME,23029,Second Machias Lake at Washington county ,45.0521862482113,-67.8775902161601
ME,23029,Knox Lake at Washington county ,45.0227357054652,-67.8975933980497
ME,23029,First Machias Lake at Washington county ,45.0175820199668,-67.8651976520548
ME,23029,Fifth Machias Lake at Washington county ,45.0397858277718,-67.9781133941967
ME,23009,Burnt Land Lake at Hancock county ,45.0193820967398,-68.0346882134155
ME,23009,Campbell Lake at Hancock county ,45.0085509352423,-68.0470840434464
ME,23009,Lower Sabao Lake at Hancock county ,44.9977620240635,-68.0211425763519
ME,23009,Lower Pond at Hancock county ,44.9883131195364,-67.9985354931668
ME,23029,Bowles Lake at Washington county ,44.9683147387124,-67.817614272683
ME,23029,First Lake at Washington county ,44.9917146940308,-67.7857245292458
ME,23029,Horse Lake at Washington county ,45.0174606525231,-67.7834607300059
ME,23029,Third Lake at Washington county ,45.0256421404381,-67.8003535715838
ME,23029,Fourth Lake at Washington county ,45.0381876087945,-67.8090395452869
ME,23029,Monroe Lake at Washington county ,45.0857589432638,-67.7948918956647
ME,23029,Little Musquash Lake at Washington county ,45.0573205601965,-67.8113145572305
ME,23029,Hound Brook Lake at Washington county ,45.4159706894886,-67.5033688810277
ME,23029,Patten Pond at Washington county ,45.30599205042,-67.6948323167497
ME,23029,Huntley Brook Flowage at Washington county ,45.2371965443833,-67.6007113070746
ME,23029,Berry Brook Flowage at Washington county ,45.2705048462297,-67.5559918773591
ME,23029,Pocomoonshine Lake at Washington county ,45.1430236135983,-67.540073884633
ME,23029,Lower Mud Lake at Washington county ,45.0942517460912,-67.5582760081264
ME,23029,Upper Mud Lake at Washington county ,45.1060096731332,-67.551625423035
ME,23029,Barrows Lake at Washington county ,45.0422629925833,-67.503186798316
ME,23029,Love Lake at Washington county ,44.99797954512,-67.519530286557
ME,23029,Vining Lake at Washington county ,44.9448767822217,-67.4509657517511
ME,23029,Lake Cathance at Washington county ,44.9494592375192,-67.4104669496847
ME,23029,Little Cathance Lake at Washington county ,44.9476999139605,-67.364962165648
ME,23029,Coleback Lake at Washington county ,45.0177121637992,-67.2118235503606
ME,23029,Pennamaquan Lake at Washington county ,45.0065090612368,-67.2269355952155
ME,23029,Boyden Lake at Washington county ,45.0125809728924,-67.152046031305
ME,23029,Ryan Lake at Washington county ,45.102905525222,-67.3805569224387
ME,23029,Pine Lake at Washington county ,45.1144109233217,-67.2260185025163
ME,23029,Lake Conic at Washington county ,45.1019961798885,-67.3162581620677
ME,23029,James Pond at Washington county ,45.0343886421377,-67.2735425822947
ME,23029,Ledge Pond at Washington county ,45.0350708823629,-67.2838364062636
ME,23029,Vose Pond at Washington county ,45.1295196811816,-67.2428247434594
ME,23029,Bearce Lake at Washington county ,45.0776886097958,-67.3240294092188
ME,23029,Cranberry Lake at Washington county ,45.0734073838835,-67.3003903297661
ME,23029,Beaver Lake at Washington county ,45.1328430575107,-67.2094981911052
ME,23029,Shattuck Lake at Washington county ,45.1045467764487,-67.1682439994362
ME,23029,Moneymaker Lake at Washington county ,45.0942299043713,-67.1681907617192
ME,23029,Keene Lake at Washington county ,45.1095661039156,-67.1740858375407
ME,23029,Rand Lake at Washington county ,45.0874812463421,-67.1874219925238
ME,23029,Goulding Lake at Washington county ,45.0733306551808,-67.1859286470677
ME,23029,Howard Lake at Washington county ,45.0761766369207,-67.2236766752873
ME,23029,Patrick Lake at Washington county ,44.8758506250162,-67.3846519933312
ME,23029,Harmon Stream at Washington county ,44.8458837186012,-67.3805463450878
ME,23029,Shiny Lake at Washington county ,44.8240207190479,-67.3228644639433
ME,23029,Josh Pond at Washington county ,44.7789162426597,-67.3055136299889
ME,23029,Sunken Lake at Washington county ,44.7905169207107,-67.29540374251
ME,23029,Cranberry Pond at Washington county ,44.8270545049102,-67.2574901611557
ME,23029,Orange Lake at Washington county ,44.7679634857496,-67.2501753419957
ME,23029,Roaring Lake at Washington county ,44.7812536369426,-67.2238635921867
ME,23029,Hobart Lake at Washington county ,44.8355648787519,-67.2617944395838
ME,23029,Hobart Bog at Washington county ,44.8507964587939,-67.2546403018474
ME,23029,Fulton Lake at Washington county ,44.8498302618575,-67.5566348852808
ME,23029,Harmon Lake at Washington county ,44.781165164759,-67.5395594147607
ME,23029,Great Brook Lake at Washington county ,44.7840326843661,-67.5320499000253
ME,23029,Second Marks Lake at Washington county ,44.7763392016579,-67.508064226853
ME,23029,Six Mile Lake at Washington county ,44.7654138559678,-67.5240246365757
ME,23029,Marks Lake at Washington county ,44.7579569607216,-67.5033548931769
ME,23029,Keeley Lake at Washington county ,44.7712034418244,-67.5161302032382
ME,23029,Horseshoe Lake at Washington county ,44.8717644739348,-67.5812499154021
ME,23029,Otter Lake at Washington county ,44.8960713053307,-67.5861092416344
ME,23029,Munson Lake at Washington county ,44.9228042877842,-67.4572047457084
ME,23029,Little Seavey Lake at Washington county ,44.9382026205816,-67.6325297765753
ME,23029,Trout Lake at Washington county ,44.9168467096809,-67.7432517851618
ME,23029,Sam Hill Lake at Washington county ,44.9107773571611,-67.7503533161586
ME,23005,Raymond Pond at Cumberland county ,43.9705899812247,-70.4283932157253
ME,23029,Hosea Pug Lake at Washington county ,45.0376721463679,-67.6825093976725
ME,23029,Silver Pug Lake at Washington county ,45.0321039756624,-67.6979009623778
