Zipcode,HUC8
06377,01100001
06378,01100003
06379,01100003
06380,01100002
06382,01100003
06384,01100001
06385,01100003
06387,01100001
06389,01100003
06390,02030203
06401,01100005
06403,01100005
06405,01100004
06409,01080205
06410,01100004
06412,01080205
06413,01100004
06414,01080205
06415,01080205
06416,01080205
06417,01080205
06418,01100005
06419,01100004
06420,01080205
06422,01080205
06423,01080205
06424,01080205
06426,01080205
06437,01100004
06438,01080205
06439,01080205
06441,01080205
06442,01080205
06443,01100004
06444,01100004
06447,01080205
06450,01100004
06451,01100004
06455,01080205
06456,01080205
06457,01080205
06459,01080205
06460,01100004
06461,01100005
06467,01100004
06468,01100005
06469,01080205
06470,01100005
06471,01100004
06472,01100004
06473,01100004
06475,01100004
06477,01100004
06478,01100005
06479,01100004
06480,01080205
06481,01080205
06482,01100005
06483,01100005
06484,01100005
06488,01100005
06489,01100004
06492,01100004
06498,01100004
06510,01100004
06511,01100004
06512,01100004
06513,01100004
06514,01100004
06515,01100004
06516,01100004
06517,01100004
06518,01100004
06519,01100004
06524,01100005
06525,01100004
06604,01100006
06605,01100006
06606,01100006
06607,01100006
06608,01100006
06610,01100006
06611,01100006
06612,01100006
06614,01100005
06615,01100006
06702,01100005
06704,01100005
06705,01100005
06706,01100005
06708,01100005
06710,01100005
06712,01100005
06716,01100005
06750,01100005
06751,01100005
06752,01100005
06753,01100005
06754,01100005
06755,01100005
06756,01100005
06757,01100005
06758,01100005
06759,01100005
06762,01100005
06763,01100005
06770,01100005
06776,01100005
06777,01100005
06778,01100005
06779,01100005
06782,01100005
06783,01100005
06784,01100005
06785,01100005
06786,01100005
06787,01100005
06790,01100005
06791,01100005
06793,01100005
06794,01100005
06795,01100005
06796,01100005
06798,01100005
06801,01100005
06804,01100005
06807,01100006
06810,01100005
06811,01100005
06812,01100005
06820,01100006
06824,01100006
06825,01100006
06830,01100006
06831,01100006
06840,01100006
06850,01100006
06851,01100006
06853,01100006
06854,01100006
06855,02030203
06870,01100006
06877,01100006
06878,01100006
06880,01100006
06883,01100006
06890,01100006
06896,01100006
06897,01100006
06901,01100006
06902,01100006
06903,01100006
06905,01100006
06906,01100006
06907,01100006
07001,02030104
07002,02030104
07003,02030103
07004,02030103
07005,02030103
07006,02030103
07008,02030104
07009,02030103
07010,02030101
07011,02030103
07012,02030103
07013,02030103
07014,02030103
07016,02030104
07017,02030103
07018,02030104
07020,02030101
07021,02030103
07022,02030103
07023,02030105
07024,02030101
07026,02030103
07027,02030104
07028,02030103
07029,02030103
07030,02030101
07031,02030103
07032,02030103
07033,02030104
07034,02030103
07035,02030103
07036,02030104
07039,02030103
07040,02030104
07041,02030104
07042,02030103
07043,02030103
07044,02030103
07045,02030103
07046,02030103
07047,02030103
07050,02030103
07052,02030104
07054,02030103
07055,02030103
07057,02030103
07058,02030103
07059,02030103
07060,02030105
07062,02030105
07063,02030105
07064,02030104
07065,02030104
07066,02030104
07067,02030104
07068,02030103
07069,02030105
07070,02030103
07071,02030103
07072,02030103
07073,02030103
07074,02030103
07075,02030103
07076,02030104
07077,02030104
07078,02030103
07079,02030104
07080,02030105
07081,02030104
07082,02030103
07083,02030104
07086,02030101
07087,02030103
07088,02030104
07090,02030104
07092,02030104
07093,02030101
07094,02030103
07095,02030104
07102,02030104
07103,02030104
07104,02030103
07105,02030103
07106,02030104
07107,02030103
07108,02030104
07109,02030103
07110,02030103
07111,02030104
07112,02030104
07114,02030104
07201,02030104
07202,02030104
07203,02030104
07204,02030104
07205,02030104
07206,02030104
07208,02030104
07302,02030101
07304,02030101
07305,02030104
07306,02030103
07307,02030103
07310,02030101
07311,02030101
07401,02030103
07403,02030103
07405,02030103
07407,02030103
07410,02030103
07416,02020007
07417,02030103
07418,02020007
07419,02020007
07420,02030103
07421,02030103
07422,02020007
07423,02030103
07424,02030103
07430,02030103
07432,02030103
07435,02030103
07436,02030103
07438,02030103
07439,02020007
07440,02030103
07442,02030103
07444,02030103
07446,02030103
07450,02030103
07452,02030103
07456,02030103
07457,02030103
07458,02030103
07460,02030103
07461,02020007
07462,02020007
07463,02030103
07465,02030103
07470,02030103
07480,02030103
07481,02030103
07501,02030103
07502,02030103
07503,02030103
07504,02030103
07505,02030103
07506,02030103
