HUC8,HUC4,region
7110009,711,
7120001,712,
7120002,712,
7120003,712,
7120004,712,
7120005,712,
7120006,712,
7120007,712,
7130001,713,
7130002,713,
7130003,713,
7130004,713,
7130005,713,
7130006,713,
7130007,713,
7130008,713,
7130009,713,
7130010,713,
7130011,713,
7130012,713,
7140101,714,
7140102,714,
7140103,714,
7140104,714,
7140105,714,
7140106,714,
7140107,714,
7140108,714,
7140201,714,
7140202,714,
7140203,714,
7140204,714,
8010100,801,
8010201,801,
8010202,801,
8010203,801,
8010204,801,
8010205,801,
8010206,801,
8010207,801,
8010208,801,
8010209,801,
8010210,801,
8010211,801,
8010300,801,
8020100,802,
8020202,802,
8020203,802,
8020204,802,
8020205,802,
8020301,802,
8020302,802,
8020303,802,
8020304,802,
8020401,802,
8020402,802,
8030100,803,
8030201,803,
8030202,803,
8030203,803,
8030204,803,
8030205,803,
8030206,803,
8030207,803,
8030208,803,
8030209,803,
8040101,804,
8040102,804,
8040103,804,
8040201,804,
8040202,804,
8040203,804,
8040204,804,
8040205,804,
8040206,804,
8040207,804,
8040301,804,
8040302,804,
8040303,804,
8040304,804,
8040305,804,
8040306,804,
8050001,805,SE
8050002,805,SE
8050003,805,SE
8060100,806,
8060201,806,
8060202,806,
8060203,806,
8060204,806,
8060205,806,
8060206,806,
8070100,807,SE
8070201,807,SE
8070202,807,SE
8070203,807,SE
8070204,807,SE
8070205,807,SE
8070300,807,SE
8080101,808,
8080102,808,
8080103,808,
8080201,808,
8080202,808,
8080203,808,
8080204,808,
8080205,808,
8080206,808,
8090100,809,
8090201,809,
8090202,809,
8090203,809,
8090301,809,
8090302,809,
9010002,901,
9010003,901,
9010004,901,
9010005,901,
9010006,901,
9010007,901,
9010008,901,
9010009,901,
9020101,902,
9020102,902,
9020103,902,
9020104,902,
9020105,902,
9020106,902,
9020107,902,
9020108,902,
9020109,902,
9020201,902,
9020202,902,
9020203,902,
9020204,902,
9020205,902,
9020301,902,
9020302,902,
9020303,902,
9020304,902,
9020305,902,
9020306,902,
9020307,902,
9020308,902,
9020309,902,
9020310,902,
9020311,902,
9020312,902,
9020314,902,
9020315,902,
9020316,902,
9020317,902,
9020318,902,
9020319,902,
9030001,903,
9030002,903,
9030003,903,
9030005,903,
9030006,903,
9030007,903,
9030008,903,
