HUC8,BCG
10150004,3
10150005,3
10150006,3
10150007,3
10160001,5
10160002,5
10160003,5
10160004,5
10160005,5
10160006,5
10160007,5
10160008,5
10160009,5
10160011,4
10170101,4
10170102,4
10170103,4
10170201,4
10170202,5
10170203,4
10170204,5
10180001,4
10180002,3
10180003,4
10180004,4
10180005,4
10180006,4
10180007,4
10180008,3
10180009,4
10180010,4
10180011,4
10180012,3
10180013,4
10180014,4
10190001,4
10190002,4
10190003,4
10190004,4
10190005,3
10190006,4
10190007,3
10190008,4
10190009,5
10190010,4
10190011,4
10190012,3
10190013,4
10190014,4
10190015,4
10190016,5
10190017,4
10190018,5
10200101,5
10200102,5
10200103,5
10200201,5
10200202,5
10200203,5
10210001,4
10210002,3
10210003,5
10210004,5
10210005,5
10210006,4
10210007,5
10210008,4
10210009,5
10210010,4
10220001,4
10220002,5
10220003,5
10220004,5
10230001,4
10230002,4
10230003,4
10230004,4
10230005,4
10230006,5
10230007,4
10240001,4
10240002,4
10240003,4
10240004,4
10240005,4
10240006,4
10240007,4
10240008,5
10240009,4
10240010,4
10240011,3
10240012,3
10240013,3
10250001,4
10250002,4
10250003,4
10250004,4
10250005,4
10250006,4
10250007,4
10250008,4
10250009,4
10250010,4
10250011,5
10250012,4
10250013,4
10250014,6
10250015,6
10250016,4
10250017,3
10260001,4
10260002,4
10260003,4
10260004,4
10260005,4
10260006,4
10260007,4
10260008,4
10260009,2
10260010,4
10260011,5
10260012,3
10260013,5
10260014,3
10260015,4
10270101,4
10270102,4
10270103,4
10270104,4
10270201,5
10270202,5
10270203,5
10270204,5
10270205,4
10270206,5
10270207,4
10280101,3
10280102,3
10280103,3
10280201,4
10280202,3
10280203,4
10290101,4
10290102,3
10290103,2
10290104,3
10290105,3
10290106,4
10290107,4
10290108,3
10290109,3
10290110,2
10290111,3
10290201,3
10290202,3
10290203,4
10300101,3
10300102,3
10300103,3
10300104,4
10300200,3
11010001,5
11010002,4
11010003,4
11010004,5
11010005,4
11010006,3
11010007,3
11010008,3
11010009,5
11010010,3
11010011,3
11010012,5
11010013,6
11010014,6
11020001,4
11020002,4
11020003,6
11020004,4
11020005,4
11020006,2
11020007,4
11020008,4
11020009,6
11020010,4
11020011,4
11020012,5
11020013,4
11030001,4
11030002,4
11030003,4
11030004,4
