st2,NAME,lake,lat,lon
WV,Webster,Trout Pond,38.6649431986237,-80.3545842100486
WV,McDowell,Anawalt Lake,37.3193400107583,-81.4218971183219
WV,Putnam,Lake Washington,38.4086278521289,-82.0077443170693
WV,Marion,Opekiska Pool,39.5224302513132,-80.1024632029442
WV,Barbour,ú,39.0207121410986,-80.0056807769539
WV,Monongalia,Morgantown Pool,39.5952669604696,-79.9860735532385
WV,Monongalia,Hildebrand Pool,39.5690691109271,-80.0229629543977
WV,Upshur,",",38.8674149969891,-80.3769348060398
WV,Fayette,Cavendish,38.1204508354815,-81.0798227055236
WV,Monongalia,Dixon Lake,39.6579344881911,-80.1034840801401
WV,Nicholas,Summersville Lake,38.2382217841256,-80.8693022391009
WV,Nicholas,",",38.2321113898746,-80.9771772785769
WV,Braxton,Sutton Lake,38.6600432235828,-80.6443430435816
WV,Braxton,Burnsville Lake,38.8151952398744,-80.5896821411689
WV,Lewis,Stonewall Jackson Lake,38.9508529848976,-80.4696621839828
WV,Berkeley,Lake Thomas,39.4628882450647,-77.9734636816322
WV,Cabell,Loki Lake,38.4017480137358,-82.4233632955561
WV,Berkeley,Sleepy Creek Lake,39.5182513080584,-78.1552341780065
WV,Raleigh,Wingrove Branch Dam Number Two,37.8457207749201,-81.3585406591
